순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
1,000150,두산,KOSPI,30.00,1170000,152972994000,134767,18946786950000,Y
2,009155,삼성전기우,KOSPI,30.00,416000,31632393750,78265,1209305344000,Y
3,011090,에넥스,KOSPI,30.00,1937,480104820,247860,22967113598,Y
4,226340,본느,KOSDAQ,30.00,1677,150666711,89843,14070841668,Y
5,095610,테스,KOSDAQ,30.00,130000,50457808150,393775,2516800000000,Y
6,482630,삼양엔씨켐,KOSDAQ,29.99,12180,4392888965,387297,266599250400,Y
7,071950,코아스,KOSPI,29.96,1848,548844359,318561,23024592360,Y
8,033160,엠케이전자,KOSDAQ,29.96,14490,16825563095,1209024,350577812340,Y
9,000660,SK하이닉스,KOSPI,29.95,1718000,17511300688000,10477773,1254985883070000,Y
10,222800,심텍,KOSDAQ,29.94,82900,69591598600,858373,3105759879900,Y
11,080220,제주반도체,KOSDAQ,29.94,65100,214767829850,3467594,2242228428300,Y
12,323280,태성,KOSDAQ,29.94,31250,15342518325,527893,954311875000,Y
13,089030,테크윙,KOSDAQ,29.94,41450,50058432975,1268799,1535873585250,Y
14,131290,티에스이,KOSDAQ,29.94,186600,15832707150,85905,2064062651400,Y
15,353200,대덕전자,KOSPI,29.93,96800,135315150750,1434106,4783558340000,Y
16,009150,삼성전기,KOSPI,29.92,1142000,693320722000,610644,85300200832000,Y
17,309930,조이웍스앤코,KOSDAQ,29.92,1103,1393925770,1313309,21239245567,Y
18,440110,파두,KOSDAQ,29.92,63400,53108336100,875402,3177039111800,Y
19,402340,SK스퀘어,KOSPI,29.91,1038000,1058950839000,1034133,136972804668000,Y
20,336260,두산퓨얼셀,KOSPI,29.89,24550,41370522875,1755895,1607870973300,Y
21,170920,엘티씨,KOSDAQ,29.89,34550,10223807175,304162,364990553300,Y
22,45226K,한화갤러리아우,KOSPI,29.87,4435,171376995,41814,12881324450,Y
23,093370,후성,KOSPI,29.87,9000,54700398770,6490927,965297970000,Y
24,002070,비비안,KOSPI,29.83,5070,1479576092,307693,12190024080,Y
25,327260,RF머트리얼즈,KOSDAQ,29.79,22350,8664143725,402504,201041267250,Y
26,044490,태웅,KOSDAQ,29.79,27450,6693164825,254518,549202608450,Y
27,194480,데브시스터즈,KOSDAQ,29.54,18460,7723930565,433051,223904109000,Y
28,089970,브이엠,KOSDAQ,29.45,65500,74430065300,1151210,1724403107500,
29,160980,싸이맥스,KOSDAQ,29.27,30250,6883135700,240822,330458350750,
30,490470,세미파이브,KOSDAQ,28.73,16490,8534246555,538669,561079505600,
31,356860,티엘비,KOSDAQ,28.47,26400,11183564800,433929,314308632000,
32,144960,뉴파워프라즈마,KOSDAQ,28.33,10010,18313469205,1898493,437363166240,
33,126340,비나텍,KOSDAQ,28.12,56500,8910859500,164572,405693391000,
34,042700,한미반도체,KOSPI,27.98,214500,461764042800,2222655,20444466900000,
35,240810,원익IPS,KOSDAQ,27.92,97600,200204408000,2131726,4790588737600,
36,319660,피에스케이,KOSDAQ,27.81,129600,101404083600,800235,3754086134400,
37,000157,두산2우B,KOSPI,27.65,325500,539632750,1726,290683869000,
38,298040,효성중공업,KOSPI,27.61,2417000,244490660000,103972,22537432516000,
39,077360,덕산하이메탈,KOSDAQ,26.96,8760,8968768000,1083628,398028137520,
40,005930,삼성전자,KOSPI,26.81,262500,14867013913350,58260863,1534648134600000,
41,084370,유진테크,KOSDAQ,26.75,112300,36431536600,335510,2573471516600,
42,281820,케이씨텍,KOSPI,26.68,69800,22830605500,333167,1381946537800,
43,031980,피에스케이홀딩스,KOSDAQ,26.68,97800,32224564450,336089,2108802231000,
44,036930,주성엔지니어링,KOSDAQ,26.65,124500,300640738750,2460953,5786899564500,
45,033640,네패스,KOSDAQ,26.54,15160,3298441005,227928,349577502320,
46,330860,네패스아크,KOSDAQ,26.54,23600,7320223025,324790,287543462000,
47,005935,삼성전자우,KOSPI,26.49,191000,1599349072400,8635528,153252899773000,
48,195870,해성디에스,KOSPI,26.34,48200,14433765425,309474,819400000000,
49,043260,성호전자,KOSDAQ,26.08,14940,23626552725,1621992,1071822088620,
50,452430,사피엔반도체,KOSDAQ,26.00,25200,986051850,41083,208036609200,
51,006340,대원전선,KOSPI,25.97,13000,199572244405,15725743,1019387408000,
52,007660,이수페타시스,KOSPI,25.84,74500,88737517550,1231888,5468986815500,
53,35320K,대덕전자1우,KOSPI,25.82,21050,487958425,23791,44110674950,
54,086390,유니테스트,KOSDAQ,25.72,8310,3164825630,405999,175624587060,
55,036540,SFA반도체,KOSDAQ,25.35,4870,19787440745,4227803,800921675610,
56,417840,저스템,KOSDAQ,25.21,9040,8768240120,999306,206739204240,
57,052710,아모텍,KOSDAQ,25.02,14040,5332529895,394648,205160145840,
58,122640,예스티,KOSDAQ,25.00,21500,10432878705,503664,464498362500,
59,172670,에이엘티,KOSDAQ,24.87,9290,563620610,65110,83240806110,
60,159010,아스플로,KOSDAQ,24.82,13880,3418291970,248591,185086177320,
61,000500,가온전선,KOSPI,24.72,134200,56694051050,436905,3996154859400,
62,032580,피델릭스,KOSDAQ,24.65,3540,3927555597,1159501,117287506560,
63,129920,대성하이텍,KOSDAQ,24.63,5010,1555069386,330606,81405966960,
64,446540,메가터치,KOSDAQ,24.48,6610,1960175005,309995,192212923710,
65,491000,리브스메드,KOSDAQ,24.42,37450,8206379900,234913,945809898950,
66,064290,인텍플러스,KOSDAQ,24.32,27600,11675043425,427882,357629152800,
67,168360,펨트론,KOSDAQ,24.30,11460,2632125150,239659,256618703220,
68,080580,오킨스전자,KOSDAQ,24.16,10690,2624776915,256441,225462308950,
69,004710,한솔테크닉스,KOSPI,23.94,6990,11974911150,1800039,284533660830,
70,001820,삼화콘덴서,KOSPI,23.88,71600,59272354400,834039,744282000000,
71,131970,두산테스나,KOSDAQ,23.75,64100,32241611350,518039,1238875955800,
72,200470,에이팩트,KOSDAQ,23.71,4800,4944729263,1060848,203338046400,
73,272110,케이엔제이,KOSDAQ,23.69,24800,2679195375,113550,199029796000,
74,078350,한양디지텍,KOSDAQ,23.68,18070,2072210330,120197,275465982740,
75,03473K,SK우,KOSPI,23.62,348000,1811035500,5410,197014980000,
76,007815,코리아써우,KOSPI,23.49,13250,39417630,3080,39282142500,
77,039030,이오테크닉스,KOSDAQ,23.33,296000,53810082750,187285,3646586800000,
78,058610,에스피지,KOSDAQ,23.18,94600,186997602500,2097222,2097978256000,
79,119850,지엔씨에너지,KOSDAQ,23.03,36600,38121864950,1055703,602030069400,
80,059090,미코,KOSDAQ,23.01,14650,5399827080,384869,489555797700,
81,200710,에이디테크놀로지,KOSDAQ,22.99,26750,7865544975,301603,360108687250,
82,010120,LSELECTRIC,KOSPI,22.95,184800,309302184850,1724011,27720000000000,
83,420770,기가비스,KOSDAQ,22.92,103500,28465591400,273351,1311940953000,
84,900290,GRT,KOSDAQ,22.89,3355,2292861066,735181,274439000000,
85,045970,코아시아,KOSDAQ,22.40,2650,385453807,157410,69734421400,
86,003160,디아이,KOSPI,22.34,20150,12864010030,652430,570245000000,
87,322310,오로스테크놀로지,KOSDAQ,22.15,13620,2743524035,212435,127572302040,
88,039440,에스티아이,KOSDAQ,22.08,21950,3728365875,177975,340379681650,
89,166090,하나머티리얼즈,KOSDAQ,21.90,52600,9620255650,186123,1040305652400,
90,089890,코세스,KOSDAQ,21.83,19700,7955949875,409648,326723751400,
91,095340,ISC,KOSDAQ,21.69,129600,22758817150,180201,2747138716800,
92,187870,디바이스,KOSDAQ,21.69,11500,2375142015,215690,158355690000,
93,424980,마이크로투나노,KOSDAQ,21.62,6300,240313230,41997,37289007000,
94,085910,네오티스,KOSDAQ,21.55,15850,2801919205,181525,218647865300,
95,212710,아이에스티이,KOSDAQ,21.51,7400,834643910,119027,71890837200,
96,412350,레이저쎌,KOSDAQ,21.31,3700,2504865225,706031,54031259100,
97,019210,와이지-원,KOSDAQ,21.31,16910,22785951705,1431025,628945940480,
98,011070,LG이노텍,KOSPI,21.23,514000,270944214500,537129,12164892998000,
99,079370,제우스,KOSDAQ,21.23,8450,3449755065,431146,262093565500,
100,425040,티이엠씨,KOSDAQ,21.21,8000,2419957505,316127,175383184000,
101,403870,HPSP,KOSDAQ,21.19,34600,160100565100,4746915,2847580000000,
102,252990,샘씨엔에스,KOSDAQ,21.06,10980,9379515070,854258,661192421220,
103,232140,와이씨,KOSDAQ,21.01,8640,9534825190,1158630,708871824000,
104,218410,RFHIC,KOSDAQ,20.96,42700,13855096275,337256,1134771373400,
105,389500,에스비비테크,KOSDAQ,20.92,30350,2939227525,102887,202236375200,
106,036010,아비코전자,KOSDAQ,20.90,5380,1064813565,207581,71515984920,
107,416180,신성에스티,KOSDAQ,20.88,17770,480703450,28605,160636855060,
108,098460,고영,KOSDAQ,20.84,27250,80514750750,3028076,1858564804250,
109,226590,엠디바이스,KOSDAQ,20.77,10640,747017715,74583,114026581760,
110,007810,코리아써키트,KOSPI,20.65,46450,25033132650,544933,1113992699000,
111,389020,자람테크놀로지,KOSDAQ,20.64,18470,1030898650,58946,127536864540,
112,043090,더테크놀로지,KOSDAQ,20.61,275,305969855,1142465,1138341875,
113,388210,씨엠티엑스,KOSDAQ,20.53,72200,3950455800,56446,697050423600,
114,000155,두산우,KOSPI,20.41,439500,9414731250,22453,1756445049000,
115,376900,로킷헬스케어,KOSDAQ,20.41,32150,11399590100,376940,510342316350,
116,301300,바이브컴퍼니,KOSDAQ,20.36,1821,303921134,171280,23954730552,
117,098120,마이크로컨텍솔,KOSDAQ,20.33,20600,1578376660,79975,171242979600,
118,081180,쎄크,KOSDAQ,20.22,5350,287083451,56779,47216612250,
119,008060,대덕,KOSPI,20.19,13810,2795549215,210304,432074823380,
120,290550,디케이티,KOSDAQ,20.06,17300,5355860950,325860,346021279000,
121,489790,한화비전,KOSPI,20.00,42000,23070371200,561094,2120512380000,
122,067310,하나마이크론,KOSDAQ,20.00,29700,86413921400,2958413,1974778809300,
123,073240,금호타이어,KOSPI,19.90,7290,147526293455,21147147,2094127492230,
124,230240,에치에프알,KOSDAQ,19.90,14340,2214026665,163954,190851060000,
125,357580,아모센스,KOSDAQ,19.82,5350,516500222,101596,63075226700,
126,171090,선익시스템,KOSDAQ,19.80,59300,5325197650,95231,600568221800,
127,064760,티씨케이,KOSDAQ,19.75,165500,14475280200,88495,1850193348000,
128,036810,에프에스티,KOSDAQ,19.62,18410,2219247565,123543,398572615490,
129,074600,원익QnC,KOSDAQ,19.61,24700,9013038500,373391,649313600000,
130,451220,아이엠티,KOSDAQ,19.59,8240,264338830,33696,64886794640,
